Business: Haci'nin Yeri - Yigit Lokantasi | Author: Gulsum Akar | Rating: 5 | Category: taste | Comment: We went to Marmaris with my wife for a holiday. We chose this restaurant as a place for dinner based on the reviews and because we wanted juicy food. When we first went there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Oguzhan Cetin | Rating: 4 | Category: menu | Comment: During my holiday in Marmaris we ate here to fit the food. It's really good that the food is cheap and nice. Eating as much bread as you want is a big plus for those who are not satisfied without bread. It is a place that I can recommend to those who will go to Marmaris. On July 1 there was a small increase but even the price hike is cheap. I leave the photo of the latest prices and breakfast below. there was a serious queue. You proceed by taking the food you want in the form of an open buffet. Both vegetable dishes and meat dishes were plentiful. There was also dessert for those who wanted it. After you get what you want you pay at the cashier. They don't go through cards they work in cash. There was a lot of food variety. And the food prices were unbelievably cheap. We paid only 84 TL for all the meals here. It included buttermilk and bread. But unfortunately I can't say it's too clean as a place..,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Yasin Kuyu | Rating: 3 | Category: outdoor_atmosphere | Comment: Prices are very affordable. The menu in the photo cost 108 liras. You have to wait 10-15 minutes for food. Staff is annoying. Well it tastes good. Boiled meat was delicious.,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Orhan Kapu | Rating: 5 | Category: indoor_atmosphere | Comment: Turkey's cheapest artisan restaurant and its food is delicious!,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Ozgur Sati | Rating: 3 | Category: menu | Comment: I don't know what you will look for in terms of price performance point; taste; but yigit restaurant writes a big plus for those who come to work in this region.,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Arda Karaca | Rating: 4 | Category: indoor_atmosphere | Comment: Generally good.,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: İrem Eren | Rating: 5 | Category: taste | Comment: What you see is 125 TL in total. It's a pretty convenient place. We can say that it is an artisan restaurant; you should not expect a restaurant; but they are still quite good in terms of price and performance. As of July 1; prices will increase,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Nadia Salim | Rating: 5 | Category: taste | Comment: Delicious food at rock bottom prices. Friendly staff; Highly recommend,reasonable_comment
"Business: Haci'nin Yeri - Yigit Lokantasi | Author: Mehmet Eser | Rating: 5 | Category: outdoor_atmosphere | Comment: Every time I go, I still experience the amazement I experienced years ago as if it were the first time. There is no need to explain. Folk hero is a business.",reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Celal Ozer | Rating: 5 | Category: indoor_atmosphere | Comment: The most f/p of all businesses I've seen.,reasonable_comment
Business: Haci'nin Yeri - Yigit Lokantasi | Author: Onur Celebi | Rating: 5 | Category: taste | Comment: The food was just like the ones my mother made. Prices were reasonable.,reasonable_comment
