business_name,text,predicted_label,prediction_reason,name,description,category
Tao | New Asian,"I was very disappointed that my favorite wine r there was replaced by a cheap imitation at full price.

And then my favorite food item - Chinese Pork Soup in noodles - was taken off the menu. Same day.

The owner apparently did not care that a prior good customer was very disappointed.",Valid,"The review describes a genuine dining experience at the Asian restaurant, mentioning specific items like wine and Chinese Pork Soup noodles that relate to the restaurant's offerings. The reviewer expresses disappointment about menu changes and service, which is relevant feedback about their actual visit to this Asian fusion establishment.",Tao | New Asian,"Stylish eatery with a modern feel & a vast menu of Asian fusion, Thai & Chinese specialties.","['Asian restaurant', 'Chinese restaurant', 'Sushi restaurant', 'Thai restaurant']"
ImagineIF Library Foundation,Fantastic library system we have here.,Valid,"The review provides a genuine positive assessment of the library system, which is directly relevant to the ImagineIF Library Foundation. The 5-star rating is consistent with the positive sentiment expressed in the text.",ImagineIF Library Foundation,,"['Foundation', 'Non-profit organization']"
HuHot Mongolian Grill,AWESOME FOOD!!!,Valid,"The review expresses genuine enthusiasm about the food quality with a 5-star rating that matches the positive sentiment. The text directly relates to the restaurant's food offerings, which aligns with the business description of customizable stir-fry dishes.",HuHot Mongolian Grill,"Chain offering all-you-can-eat, customizable stir-fry dishes in an informal setting.","['Mongolian barbecue restaurant', 'Asian restaurant', 'Buffet restaurant', 'Chinese restaurant', 'Family restaurant']"
The Cattlemen's Cut Supper Club,Prime rib...mmmm!  So good!,Valid,"The review describes a genuine dining experience at the steakhouse, mentioning 'Prime rib' which is directly relevant to the business category 'Steak house'. The 5-star rating is consistent with the positive sentiment expressed.",The Cattlemen's Cut Supper Club,,"['Steak house', 'Banquet hall', 'Event venue', 'Seafood restaurant', 'Sports bar']"
Fortine Mercantile,"Amazingly great selection of various items ranging from groceries to automotive sales. The people are wonderful, the prices are fairly decent (considering it's the only store 10 miles from Eureka and 40 miles from Whitefish thereby justifying a slight increase in pricing due to convenience) and my experience every time I shop there is a pleasant indeed!! Thank you Fortine Mercantile! :-)",Valid,"The review provides a detailed and genuine experience about shopping at Fortine Mercantile. The reviewer describes the store's selection (groceries to automotive), staff quality, pricing considerations, and their overall positive experience. The 5-star rating is consistent with the enthusiastic positive feedback, and the content is highly relevant to a grocery store business.",Fortine Mercantile,,['Grocery store']
Sykes Diner & Market,Great experience  food and service!! Thank you from Prescott Valley Arizona!!,Valid,"The review describes a genuine dining experience with positive feedback about food and service at an American restaurant. The 5-star rating is consistent with the enthusiastic praise, and mentioning their location (Prescott Valley Arizona) adds authenticity to the review.",Sykes Diner & Market,,['American restaurant']
Pizza Ranch,Good food,Valid,"The review provides a genuine positive assessment of the food quality at Pizza Ranch, which is directly relevant to this buffet restaurant. The 5-star rating is consistent with the positive comment 'Good food'.",Pizza Ranch,"Buffet chain offering pizza, fried chicken & classic American sides in an Old West-themed setting.","['Buffet restaurant', 'Chicken restaurant', 'Delivery Restaurant', 'Pizza delivery', 'Pizza restaurant', 'Pizza Takeout', 'Restaurant']"
Backyard Tap House,Great  Burgers,Valid,The review mentions 'Great Burgers' which is directly relevant to the restaurant's category as a 'Bar & grill' and 'Restaurant'. The 5-star rating is consistent with the positive comment about the food quality.,Backyard Tap House,,"['Restaurant', 'Bar & grill', 'Beer hall', 'Brunch restaurant', 'Cocktail bar', 'Lunch restaurant', 'Wine bar']"
Fergie's Pub,Had a lot of fun here! Burgers were awesome,Valid,"The review describes a genuine experience at the bar, mentioning both the fun atmosphere and food quality (burgers), which is relevant to a bar/pub establishment. The 4-star rating is consistent with the positive experience described.",Fergie's Pub,,['Bar']
HuHot Mongolian Grill,It has great food.,Valid,"The review provides a genuine positive assessment of the food quality at HuHot Mongolian Grill, which is directly relevant to the restaurant's business of serving customizable stir-fry dishes. The 5-star rating aligns with the positive comment about the food.",HuHot Mongolian Grill,"Chain offering all-you-can-eat, customizable stir-fry dishes in an informal setting.","['Mongolian barbecue restaurant', 'Asian restaurant', 'Buffet restaurant', 'Chinese restaurant', 'Family restaurant']"
Cory's Valley Market,1st visit but the staff is really helpful getting me the stuff that I needed and a cashier's were pleasant and super fast. Good work,Valid,"The review describes a genuine shopping experience at the grocery store, mentioning specific aspects like helpful staff and pleasant cashiers. The 4-star rating is consistent with the positive feedback about the visit.",Cory's Valley Market,,['Grocery store']
