business_name,text,predicted_label,prediction_reason,description,category
Sunset Diner,"One issue I keep noticing is how music festivals and concerts seems to come up everywhere, but very few people truly understand the details.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,"Some people spend hours discussing fitness resolutions, yet they never agree on any solution or practical idea to improve the situation.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,"Many podcasts nowadays seem to focus on video games and esports, but the way they discuss it often feels exaggerated or overly dramatic.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,"Some people spend hours discussing daily commute and traffic, yet they never agree on any solution or practical idea to improve the situation.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
Golden Dragon Restaurant,"I have been reading a lot about travel plans and flight delays recently, and it really makes me think about how it affects our lives daily.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Authentic Chinese cuisine with a wide selection of dim sum and noodles.,"['Restaurant', 'Chinese restaurant']"
Lakeside Bookstore,"One issue I keep noticing is how mental health awareness seems to come up everywhere, but very few people truly understand the details.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Independent bookstore with a curated selection of novels and art books.,"['Bookstore', 'Shop']"
Harmony Yoga Center,"I once attended a long seminar about mental health awareness, and honestly it was boring and I did not learn much from the experience.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Yoga studio specializing in mindfulness and wellness classes.,"['Yoga studio', 'Fitness center']"
TechFix Hub,"I once attended a long seminar about daily commute and traffic, and honestly it was boring and I did not learn much from the experience.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,"Tech repair shop for phones, laptops, and tablets.","['Computer repair service', 'Electronics store']"
Silverline Gym,"The news keeps covering latest smartphone rumors, and while it is interesting, it has nothing to do with my daily responsibilities at all.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Modern fitness center with personal training and group classes.,"['Gym', 'Fitness center']"
Blue Lagoon Spa,"Some people spend hours discussing artificial intelligence trends, yet they never agree on any solution or practical idea to improve the situation.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,"Luxury spa offering massages, facials, and wellness treatments.","['Spa', 'Beauty salon']"
Urban Bites,"The news keeps covering new fashion trends, and while it is interesting, it has nothing to do with my daily responsibilities at all.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Casual dining spot known for burgers and milkshakes.,"['Restaurant', 'Fast food restaurant']"
Sunny Day Bakery,"I have been reading a lot about artificial intelligence trends recently, and it really makes me think about how it affects our lives daily.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,"Bakery offering artisan breads, cakes, and desserts.","['Bakery', 'Dessert shop']"
Maple Leaf Clinic,"People often argue online about new fashion trends, but in reality most of the discussions are not very helpful or meaningful at all.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Healthcare clinic providing family medicine and consultations.,"['Clinic', 'Medical center']"
DreamStay Hotel,"My friends and I talked about fitness resolutions yesterday, and we had such different opinions that the debate lasted all evening long.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Upscale hotel offering luxury rooms and conference facilities.,"['Hotel', 'Lodging']"
Riverwalk Coffee,"People often argue online about environmental pollution issues, but in reality most of the discussions are not very helpful or meaningful at all.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Coffeehouse with specialty brews and a relaxed atmosphere.,"['Cafe', 'Coffee shop']"
Skyline Fitness,"Some people spend hours discussing holiday traditions, yet they never agree on any solution or practical idea to improve the situation.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Comprehensive gym with state-of-the-art equipment.,"['Gym', 'Sports center']"
Lotus Garden,"Whenever I scroll through social media, I see people posting their opinions on environmental pollution issues, but most of it feels repetitive.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Fine dining restaurant with an extensive wine list.,"['Restaurant', 'Fine dining']"
NextGen Electronics,"People often argue online about mental health awareness, but in reality most of the discussions are not very helpful or meaningful at all.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Electronics store specializing in computers and accessories.,"['Electronics store', 'Computer store']"
Pinewood Theater,"I have been reading a lot about personal health and fitness struggles recently, and it really makes me think about how it affects our lives daily.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Neighborhood theater showcasing indie films and classics.,"['Theater', 'Cinema']"
Starshine Salon,"Many podcasts nowadays seem to focus on education and online learning, but the way they discuss it often feels exaggerated or overly dramatic.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Beauty salon providing hair styling and spa treatments.,"['Beauty salon', 'Spa']"
Sunset Diner,"My friends and I talked about movie reviews and entertainment yesterday, and we had such different opinions that the debate lasted all evening long.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,A cozy family-owned restaurant serving comfort food classics.,"['Restaurant', 'Diner', 'Cafe']"
Ocean Breeze Cafe,"One issue I keep noticing is how online shopping experiences seems to come up everywhere, but very few people truly understand the details.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,A beachfront cafe offering fresh coffee and pastries with ocean views.,"['Cafe', 'Bakery', 'Coffeehouse']"
Green Valley Market,"One issue I keep noticing is how pet care tips seems to come up everywhere, but very few people truly understand the details.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Local farmers market featuring organic produce and handmade goods.,"['Market', 'Grocery store']"
City Lights Bar,"I have been reading a lot about weather and climate change recently, and it really makes me think about how it affects our lives daily.",Irrelevant,The review content discusses a topic unrelated to the business description and category.,Trendy downtown bar with live music and craft cocktails.,"['Bar', 'Pub']"
