business_name,text,predicted_label,prediction_reason,description,category
"Sunset Grill","My coworker said the food here is terrible. Not wasting my money on this place.",Rant_Without_Visit,"Negative comment based on hearsay from coworker, indicating no personal experience.","Casual dining restaurant with American cuisine","['American restaurant', 'Grill', 'Casual dining', 'Bar and grill']"
"Elite Fitness Center","Never been here but the parking lot always looks empty. Must be a bad gym.",Rant_Without_Visit,"Assumption about quality based on parking lot observation without visiting.","24-hour fitness facility with modern equipment","['Gym', 'Fitness center', 'Health club', '24-hour gym']"
"Bella's Hair Studio","I heard they ruined my neighbor's hair. Will never risk going there.",Rant_Without_Visit,"Negative judgment based on neighbor's experience without personal visit.","Hair salon specializing in color and styling","['Hair salon', 'Beauty salon', 'Hair colorist', 'Styling salon']"
"Quick Fix Auto","Never been but their prices online look like a total ripoff.",Rant_Without_Visit,"Price complaint based on online research without actual service experience.","Auto repair shop for all makes and models","['Auto repair', 'Mechanic', 'Car service', 'Auto shop']"
"The Pizza Palace","Don't need to try it to know chain pizza is garbage.",Rant_Without_Visit,"Dismissive assumption about chain restaurants without trying this location.","Pizza restaurant chain with delivery","['Pizza restaurant', 'Italian restaurant', 'Delivery', 'Chain restaurant']"
"Happy Paws Grooming","My sister's dog got sick after going there. Would never trust them with my pet.",Rant_Without_Visit,"Negative opinion based on family member's experience without personal visit.","Pet grooming salon with boarding services","['Pet groomer', 'Dog grooming', 'Pet salon', 'Animal care']"
"Tech Solutions Inc","Called once and they were rude. Won't give them my business.",Rant_Without_Visit,"Negative judgment from phone interaction without visiting the store.","Computer repair and IT services","['Computer repair', 'IT service', 'Tech support', 'Electronics repair']"
"Garden Fresh Market","Too expensive from what I've heard. I'll stick to regular grocery stores.",Rant_Without_Visit,"Price assumption based on hearsay without shopping there.","Organic grocery store with local produce","['Grocery store', 'Organic market', 'Health food store', 'Supermarket']"
"Comfort Dental Care","Everyone says dentists here just want to upsell you. Not interested.",Rant_Without_Visit,"Cynical assumption about business practices without being a patient.","Family dental practice with cosmetic services","['Dentist', 'Dental clinic', 'Cosmetic dentist', 'Family dentist']"
"Urban Eats Kitchen","Never eaten here and never will. Hipster restaurants are overpriced nonsense.",Rant_Without_Visit,"Prejudiced dismissal based on restaurant concept without trying it.","Modern farm-to-table restaurant","['Restaurant', 'Farm-to-table', 'American restaurant', 'Trendy dining']"
"Ace Plumbing Services","Read bad reviews online. Would never hire them.",Rant_Without_Visit,"Judgment based solely on online reviews without personal experience.","Licensed plumbing contractor","['Plumber', 'Plumbing service', 'Emergency plumber', 'Contractor']"
"Serenity Spa","Spas are a waste of money. Never been and never going.",Rant_Without_Visit,"Dismissive of entire industry without trying this specific business.","Day spa offering massages and treatments","['Spa', 'Massage spa', 'Day spa', 'Wellness center']"
"Metro Car Wash","Why would I pay for a car wash when I can do it myself? Ridiculous.",Rant_Without_Visit,"Dismissive of service value without trying it.","Automated car wash with detailing","['Car wash', 'Auto detailing', 'Car care', 'Vehicle wash']"
"Little Scholars Academy","Heard from other parents this place is chaotic. Keeping my kids far away.",Rant_Without_Visit,"Negative opinion from parent gossip without enrollment or visit.","Private preschool and daycare center","['Preschool', 'Daycare', 'Child care', 'Early education']"
"The Burger Spot","Another burger joint? Pass. This town has too many already.",Rant_Without_Visit,"Dismissive based on market saturation without trying the restaurant.","Gourmet burger restaurant with craft beer","['Burger restaurant', 'American restaurant', 'Bar', 'Casual dining']"
"Crystal Nails","My friend said they use cheap products. Not risking my health.",Rant_Without_Visit,"Health concern based on friend's claim without personal experience.","Nail salon with spa pedicures","['Nail salon', 'Manicure', 'Pedicure', 'Beauty salon']"
"Fitness First Gym","Probably full of meatheads and show-offs. No thanks.",Rant_Without_Visit,"Stereotypical assumption about clientele without visiting.","Fitness center with free weights and classes","['Gym', 'Fitness center', 'Weight training', 'Health club']"
"Mama's Italian Kitchen","Fake Italian food made by non-Italians. Why bother?",Rant_Without_Visit,"Prejudiced assumption about authenticity without trying the food.","Family Italian restaurant with traditional recipes","['Italian restaurant', 'Family restaurant', 'Pizza', 'Pasta']"
"Express Oil Change","These quick places never do a thorough job. I'll go somewhere else.",Rant_Without_Visit,"Assumption about service quality based on business model.","Quick oil change and basic maintenance","['Oil change', 'Quick lube', 'Auto service', 'Car maintenance']"
"Downtown Yoga Studio","Yoga is just stretching for rich people. Complete waste.",Rant_Without_Visit,"Dismissive class-based prejudice without trying the studio.","Yoga studio offering various class styles","['Yoga studio', 'Fitness studio', 'Wellness center', 'Exercise studio']"
"Elite Barber Shop","$40 for a haircut? That's insane. Never stepping foot in there.",Rant_Without_Visit,"Price objection without experiencing the service.","Upscale barbershop with traditional services","['Barber shop', 'Men's grooming', 'Hair salon', 'Barbershop']"
"Fresh Sushi Bar","Raw fish? No way. Don't understand why people eat this stuff.",Rant_Without_Visit,"Cultural food prejudice without trying the restaurant.","Japanese sushi restaurant and bar","['Sushi restaurant', 'Japanese restaurant', 'Sushi bar', 'Asian restaurant']"
"Bright Smiles Dental","All dentists are scammers. Haven't been to one in years and won't start now.",Rant_Without_Visit,"Anti-dentist sentiment without being a patient at this practice.","Modern dental clinic with latest technology","['Dentist', 'Dental office', 'Oral care', 'Dental clinic']"
"The Coffee House","$7 for coffee is criminal. Never going there.",Rant_Without_Visit,"Price complaint without purchasing anything.","Specialty coffee shop with artisan roasts","['Coffee shop', 'Cafe', 'Coffee house', 'Espresso bar']"
"Pampered Pets Spa","A spa for dogs? This is what's wrong with society. Absolutely not.",Rant_Without_Visit,"Dismissive of business concept without using services.","Luxury pet grooming and spa services","['Pet grooming', 'Pet spa', 'Dog grooming', 'Animal spa']"
"City Chiropractic","Chiropractors are fake doctors. Would never waste my time.",Rant_Without_Visit,"Dismissive of entire profession without visiting this clinic.","Chiropractic clinic specializing in pain relief","['Chiropractor', 'Pain clinic', 'Wellness center', 'Back pain treatment']"
"Trendy Cuts Salon","Saw their prices in the window. Highway robbery!",Rant_Without_Visit,"Price objection from window shopping without entering.","Modern hair salon with contemporary styles","['Hair salon', 'Beauty salon', 'Hair stylist', 'Salon']"
"Green Leaf Vegetarian","Vegetarian food is rabbit food. Not interested.",Rant_Without_Visit,"Dietary prejudice without trying the restaurant.","Vegetarian restaurant with global cuisine","['Vegetarian restaurant', 'Vegan restaurant', 'Healthy dining', 'Plant-based']"
"Metro Dental Group","Friend said they try to sell you stuff you don't need. Staying away.",Rant_Without_Visit,"Suspicion based on friend's opinion without being a patient.","Dental group practice with multiple dentists","['Dental group', 'Dentist', 'Dental care', 'Oral health']"
"Luxury Auto Detail","Who pays hundreds to clean a car? Complete waste of money.",Rant_Without_Visit,"Value judgment without understanding the service.","High-end auto detailing and ceramic coating","['Auto detailing', 'Car detailing', 'Luxury car care', 'Vehicle detailing']"
"Kids Fun Zone","Probably just a germ factory. Would never bring my children.",Rant_Without_Visit,"Hygiene assumption without visiting the facility.","Indoor playground and party venue","['Indoor playground', 'Kids entertainment', 'Party venue', 'Children's center']"
"Taco Express","Mexican food from a drive-thru? Guaranteed to be terrible.",Rant_Without_Visit,"Quality assumption based on service model without trying food.","Quick-service Mexican restaurant","['Mexican restaurant', 'Fast food', 'Taco shop', 'Quick service']"
"Elite Fitness Studio","Boutique fitness is just overpriced exercising. Hard pass.",Rant_Without_Visit,"Dismissive of boutique fitness model without trying classes.","Small group fitness studio with specialty classes","['Fitness studio', 'Boutique fitness', 'Group fitness', 'Exercise studio']"
"Comfort Inn Motel","Probably has bedbugs like all cheap motels. Never staying there.",Rant_Without_Visit,"Negative assumption about cleanliness without staying.","Budget-friendly motel with basic amenities","['Motel', 'Budget hotel', 'Lodging', 'Accommodation']"
"Thai Spice Restaurant","Thai food is too spicy. Don't need to try it to know.",Rant_Without_Visit,"Cuisine prejudice without trying this restaurant's food.","Authentic Thai restaurant with varied spice levels","['Thai restaurant', 'Asian restaurant', 'Thai cuisine', 'Ethnic food']"
"Quick Print Shop","Online printing is cheaper. Why would anyone go here?",Rant_Without_Visit,"Dismissive comparison without using their services.","Local printing and copy services","['Print shop', 'Copy center', 'Printing service', 'Business services']"
"Sunshine Daycare","Heard they have too many kids per teacher. Unsafe.",Rant_Without_Visit,"Safety concern based on hearsay without touring facility.","Licensed daycare center for ages 2-5","['Daycare', 'Child care', 'Preschool', 'Early childhood center']"
"The Wine Bar","Pretentious place for snobs. Not my scene.",Rant_Without_Visit,"Social prejudice without visiting the establishment.","Wine bar with small plates menu","['Wine bar', 'Bar', 'Wine lounge', 'Cocktail bar']"
"Family Dental Care","My cousin said they're always running late. Unprofessional.",Rant_Without_Visit,"Scheduling complaint based on relative's experience.","Family dentistry practice for all ages","['Family dentist', 'Dental care', 'Pediatric dentist', 'General dentist']"
"Muscle Gym","Intimidating atmosphere from what I've heard. Staying away.",Rant_Without_Visit,"Atmosphere assumption based on reputation without visiting.","Bodybuilding and powerlifting gym","['Gym', 'Bodybuilding gym', 'Powerlifting', 'Strength training']"
"Organic Grocer","Organic is a scam. Same food for double the price.",Rant_Without_Visit,"Dismissive of organic products without shopping there.","Organic and natural foods grocery store","['Organic grocery', 'Health food store', 'Natural foods', 'Specialty grocer']"
"Downtown Diner","Diners are all greasy and unhealthy. Won't eat there.",Rant_Without_Visit,"Stereotypical assumption about diner food without trying it.","Classic American diner with comfort food","['Diner', 'American restaurant', 'Breakfast restaurant', 'Comfort food']"
"Pet Palace Boarding","Would never leave my dog with strangers. Don't trust any of these places.",Rant_Without_Visit,"Trust issue with entire industry without trying this facility.","Pet boarding and daycare facility","['Pet boarding', 'Dog daycare', 'Pet hotel', 'Animal boarding']"
"Zoom Car Rental","Rental cars are always dirty and broken. Not worth it.",Rant_Without_Visit,"Negative assumption about all rental cars without renting here.","Car rental agency with variety of vehicles","['Car rental', 'Auto rental', 'Vehicle rental', 'Transportation']"
"Beauty Bliss Salon","Salons are overpriced. I cut my own hair.",Rant_Without_Visit,"DIY preference dismissing professional services without trying.","Full-service beauty salon and spa","['Beauty salon', 'Hair salon', 'Spa', 'Salon services']"
